customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00034,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),23.4,124.38,No
CUST-00035,Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),33.03,386.01,No
CUST-00036,Male,0,Yes,Yes,22,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),92.35,1987.19,No
CUST-00037,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.18,5054.08,Yes
CUST-00038,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.53,244.2,No
CUST-00039,Male,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.58,1552.32,Yes
CUST-00040,Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),70.89,264.47,Yes
CUST-00041,Male,1,No,No,23,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),64.11,1434.31,No
CUST-00042,Male,0,No,No,8,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,24.52,210.59,Yes
CUST-00043,Female,1,No,No,9,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,46.17,404.26,No
CUST-00044,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,64.23,1087.99,No
CUST-00045,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),21.03,912.09,No
CUST-00046,Female,1,Yes,No,44,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),74.73,3496.45,No
CUST-00047,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.3,1753.8,No
CUST-00048,Male,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,38.77,209.59,No
CUST-00049,Female,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),66.53,744.11,Yes
CUST-00050,Female,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),61.63,1743.43,Yes
CUST-00051,Male,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.41,2737.87,No
CUST-00052,Female,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),89.62,5721.62,Yes
CUST-00053,Male,0,No,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,95.0,3297.63,Yes
CUST-00054,Female,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,44.28,672.45,No
CUST-00055,Male,0,No,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),117.73,4608.2,No
CUST-00056,Female,0,Yes,No,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),66.25,991.79,No
CUST-00057,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,114.97,4203.82,No
CUST-00058,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,27.04,277.62,No
CUST-00059,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,102.33,1141.97,No
CUST-00060,Male,0,No,No,4,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,76.65,324.09,Yes
CUST-00061,Male,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,114.29,2365.14,Yes
CUST-00062,Male,0,No,No,34,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.41,2808.38,No
CUST-00063,Male,0,No,No,48,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),87.18,4117.33,Yes
CUST-00064,Male,0,No,No,50,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,82.82,3880.37,Yes
CUST-00065,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),34.97,2683.93,No
CUST-00066,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),79.54,330.54,Yes
CUST-00067,Female,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),58.89,1502.51,No
CUST-00068,Male,0,No,Yes,27,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,90.89,2303.43,No
CUST-00069,Female,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),52.57,2717.32,No
CUST-00070,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,93.73,1107.88,Yes
CUST-00071,Female,1,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,114.7,361.91,No
CUST-00072,Female,1,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.15,455.83,No
CUST-00073,Male,0,Yes,No,70,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.03,5041.87,Yes
CUST-00074,Female,0,Yes,No,59,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),83.57,5176.86,No
CUST-00075,Male,1,Yes,No,19,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,59.47,1076.98,Yes
CUST-00076,Female,1,No,Yes,57,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,99.51,5510.99,No
CUST-00077,Female,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),106.86,226.74,Yes
CUST-00078,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),72.2,916.09,No
CUST-00079,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,63.45,2810.14,No
CUST-00080,Female,1,No,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),91.99,890.54,No
CUST-00081,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,30.26,298.84,Yes
CUST-00082,Female,0,Yes,Yes,56,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),78.84,4797.14,No
CUST-00083,Male,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.16,1434.37,Yes
CUST-00084,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),114.19,7434.1,Yes
CUST-00085,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),77.22,482.87,Yes
CUST-00086,Male,1,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.34,1676.93,No
CUST-00087,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),47.36,611.36,Yes
CUST-00088,Male,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,70.06,3868.83,No
CUST-00089,Female,0,No,No,11,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,40.38,466.9,Yes
CUST-00090,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),96.68,1561.37,Yes
CUST-00091,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),66.04,501.07,Yes
CUST-00092,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,32.58,1508.23,No
CUST-00093,Female,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,35.8,413.28,No
CUST-00094,Female,0,No,No,3,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),96.39,271.29,No
CUST-00095,Female,0,No,Yes,21,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,27.16,550.72,Yes
CUST-00096,Female,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,66.38,1240.13,Yes
CUST-00097,Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.51,335.53,No
CUST-00098,Female,1,Yes,No,6,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),111.15,721.61,No
CUST-00099,Female,0,No,Yes,59,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,41.74,2654.79,No
CUST-00100,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),35.14,103.4,Yes
CUST-00101,Male,1,Yes,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,63.57,347.37,Yes
CUST-00102,Female,0,No,Yes,11,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),85.84,869.97,No
CUST-00103,Female,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),87.58,5206.9,No
CUST-00104,Female,1,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,83.16,352.59,No
CUST-00105,Female,0,Yes,No,51,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),50.41,2424.52,Yes
CUST-00106,Female,0,Yes,No,59,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,20.87,1296.16,No
CUST-00107,Female,1,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.35,1587.68,Yes
CUST-00108,Female,0,No,Yes,13,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,108.76,1532.62,No
CUST-00109,Female,0,No,No,38,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,50.17,1806.0,Yes
CUST-00110,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),33.49,1462.22,Yes
CUST-00111,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),48.51,2092.71,No
CUST-00112,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.07,4111.62,Yes
CUST-00113,Female,0,Yes,Yes,12,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,95.41,1121.85,Yes
CUST-00114,Female,1,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,86.65,3063.36,Yes
CUST-00115,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.01,439.25,Yes
CUST-00116,Female,0,Yes,Yes,26,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,106.43,2961.21,Yes
CUST-00117,Male,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,95.47,3202.45,No
CUST-00118,Female,0,Yes,No,7,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,38.36,241.84,No
CUST-00119,Female,0,Yes,Yes,4,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),92.05,377.87,Yes
CUST-00120,Male,1,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,44.43,367.74,Yes
CUST-00121,Female,1,No,Yes,21,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,117.39,2437.04,Yes
CUST-00122,Male,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),46.65,2517.51,No
CUST-00123,Female,0,No,No,28,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.29,730.07,No
CUST-00124,Male,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,82.08,3935.69,Yes
CUST-00125,Male,0,No,No,8,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),81.13,587.17,No
CUST-00126,Female,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),94.61,432.61,No
CUST-00127,Female,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,99.48,1154.53,Yes
CUST-00128,Male,1,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,116.07,1494.78,No
CUST-00129,Female,0,Yes,No,29,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.97,2977.39,Yes
CUST-00130,Female,0,Yes,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,104.05,6469.57,No
CUST-00131,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),112.38,2595.56,Yes
CUST-00132,Male,0,No,No,27,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.15,1124.11,Yes
CUST-00133,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.95,38.91,Yes
CUST-00134,Male,0,No,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,73.5,151.91,No
CUST-00135,Male,0,Yes,No,4,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,54.68,215.55,No
CUST-00136,Male,0,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.35,872.64,No
CUST-00137,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.3,2527.61,No
CUST-00138,Male,0,No,No,9,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),40.8,357.14,Yes
CUST-00139,Male,0,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),63.56,1843.15,Yes
CUST-00140,Male,0,No,Yes,28,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,95.91,2718.72,No
CUST-00141,Female,0,Yes,No,4,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,76.72,330.33,Yes
CUST-00142,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),116.69,3709.33,No
CUST-00143,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),102.4,4472.07,Yes
CUST-00144,Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),102.26,1230.26,Yes
CUST-00145,Female,0,Yes,No,39,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,98.35,3625.12,No
CUST-00146,Male,0,No,No,9,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),93.5,773.39,No
CUST-00147,Male,0,Yes,No,45,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,76.79,3709.44,Yes
CUST-00148,Male,0,No,Yes,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,96.03,5501.15,Yes
CUST-00149,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),79.18,1644.35,No
CUST-00150,Female,1,Yes,No,11,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,61.54,686.57,No
CUST-00151,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),71.22,1407.44,No
CUST-00152,Male,1,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),72.91,852.31,Yes
CUST-00153,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,117.25,125.37,Yes
CUST-00154,Male,0,No,Yes,36,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,67.06,2225.32,Yes
CUST-00155,Male,1,No,Yes,2,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,95.5,180.75,Yes
CUST-00156,Female,0,Yes,Yes,9,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),78.03,647.53,Yes
CUST-00157,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,65.67,2933.66,No
CUST-00158,Female,0,Yes,No,37,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,107.1,3949.88,Yes
CUST-00159,Male,0,No,No,4,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),84.59,352.4,No
CUST-00160,Female,0,No,Yes,37,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),103.02,3833.26,No
CUST-00161,Male,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),110.12,6513.57,No
CUST-00162,Male,1,No,No,4,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.51,331.5,Yes
CUST-00163,Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),38.34,702.74,Yes
CUST-00164,Female,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,104.26,4496.23,Yes
CUST-00165,Female,1,Yes,No,37,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),27.79,943.59,Yes
CUST-00166,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,30.52,296.12,No
CUST-00167,Female,0,Yes,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),61.69,437.59,Yes
CUST-00168,Male,1,No,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),23.39,1191.62,No
CUST-00169,Male,1,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.11,1684.89,No
CUST-00170,Female,0,Yes,No,46,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,117.96,5145.13,No
CUST-00171,Female,0,No,No,68,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),88.97,5872.79,No
CUST-00172,Male,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,96.52,3044.7,Yes
CUST-00173,Male,0,No,No,63,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,105.34,6059.86,Yes
CUST-00174,Female,0,Yes,No,39,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),22.14,876.91,Yes
