customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,avg_monthly_charge,charge_tenure_ratio,customer_lifetime_value,engagement_score,service_utilization_score,contract_risk_score,loyalty_score,churn_risk_index,tenure_group,is_new_customer,has_autopay,has_fiber
CUST-00045,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),21.03,912.09,No,20.27,1.037,946.35,55.6,57.1,1.0,36.1,25.0,24-48,0,1,1
CUST-00046,Female,1,Yes,No,44,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),74.73,3496.45,No,79.46,0.94,3288.12,44.4,50.0,1.0,33.3,25.0,24-48,0,1,0
CUST-00047,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.3,1753.8,No,87.69,1.053,1846.0,55.6,57.1,1.0,22.2,25.0,12-24,0,0,1
CUST-00048,Male,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,38.77,209.59,No,34.93,1.11,232.62,33.3,42.9,1.0,10.0,55.0,0-6,0,0,0
CUST-00049,Female,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),66.53,744.11,Yes,62.01,1.073,798.36,11.1,7.1,1.0,8.9,50.0,6-12,0,1,0
CUST-00050,Female,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),61.63,1743.43,Yes,67.06,0.919,1602.38,66.7,64.3,1.0,27.8,25.0,24-48,0,1,1
CUST-00051,Male,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.41,2737.87,No,48.89,1.052,2878.96,22.2,28.6,1.0,35.6,50.0,48+,0,0,1
CUST-00052,Female,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),89.62,5721.62,Yes,84.14,1.065,6094.16,11.1,7.1,1.0,40.0,50.0,48+,0,1,0
CUST-00053,Male,0,No,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,95.0,3297.63,Yes,94.22,1.008,3325.0,44.4,50.0,1.0,28.3,45.0,24-48,0,0,1
CUST-00054,Female,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,44.28,672.45,No,42.03,1.054,708.48,44.4,50.0,0.1,53.8,0.0,12-24,0,0,1
CUST-00055,Male,0,No,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),117.73,4608.2,No,115.2,1.022,4709.2,11.1,7.1,0.1,60.4,45.0,24-48,0,1,0
CUST-00056,Female,0,Yes,No,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),66.25,991.79,No,61.99,1.069,1060.0,55.6,57.1,1.0,20.0,25.0,12-24,0,1,0
CUST-00057,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,114.97,4203.82,No,123.64,0.93,3908.98,33.3,42.9,1.0,25.5,45.0,24-48,0,0,1
CUST-00058,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,27.04,277.62,No,25.24,1.071,297.44,33.3,42.9,1.0,12.8,55.0,6-12,0,0,0
CUST-00059,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,102.33,1141.97,No,95.16,1.075,1227.96,33.3,35.7,0.3,41.3,20.0,6-12,0,0,0
CUST-00060,Male,0,No,No,4,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,76.65,324.09,Yes,81.02,0.946,306.6,44.4,50.0,1.0,11.1,55.0,0-6,0,0,0
CUST-00061,Male,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,114.29,2365.14,Yes,118.26,0.966,2285.8,11.1,7.1,1.0,13.3,70.0,12-24,0,0,0
CUST-00062,Male,0,No,No,34,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.41,2808.38,No,82.6,1.01,2835.94,33.3,42.9,1.0,25.5,25.0,24-48,0,0,1
CUST-00063,Male,0,No,No,48,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),87.18,4117.33,Yes,85.78,1.016,4184.64,66.7,78.6,0.1,76.0,0.0,24-48,0,1,0
CUST-00064,Male,0,No,No,50,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,82.82,3880.37,Yes,77.61,1.067,4141.0,44.4,50.0,0.3,64.7,0.0,48+,0,0,0
CUST-00065,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),34.97,2683.93,No,37.28,0.938,2517.84,22.2,28.6,1.0,44.4,50.0,48+,0,1,1
CUST-00066,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),79.54,330.54,Yes,82.64,0.962,318.16,55.6,57.1,1.0,13.3,55.0,0-6,0,1,1
CUST-00067,Female,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),58.89,1502.51,No,60.1,0.98,1472.25,55.6,64.3,1.0,25.0,25.0,24-48,0,1,1
CUST-00068,Male,0,No,Yes,27,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,90.89,2303.43,No,85.31,1.065,2454.03,33.3,42.9,1.0,21.7,25.0,24-48,0,0,1
CUST-00069,Female,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),52.57,2717.32,No,55.46,0.948,2575.93,33.3,42.9,0.1,69.9,0.0,48+,0,1,1
CUST-00070,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,93.73,1107.88,Yes,92.32,1.015,1124.76,11.1,7.1,0.3,36.9,45.0,6-12,0,0,0
CUST-00071,Female,1,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,114.7,361.91,No,120.64,0.951,344.1,66.7,71.4,0.3,43.0,50.0,0-6,1,0,1
CUST-00072,Female,1,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.15,455.83,No,32.56,0.926,422.1,11.1,7.1,0.1,46.0,25.0,12-24,0,0,0
CUST-00073,Male,0,Yes,No,70,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.03,5041.87,Yes,72.03,1.0,5042.1,44.4,50.0,1.0,47.8,25.0,48+,0,0,0
CUST-00074,Female,0,Yes,No,59,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),83.57,5176.86,No,87.74,0.952,4930.63,44.4,50.0,0.3,69.7,0.0,48+,0,1,0
CUST-00075,Male,1,Yes,No,19,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,59.47,1076.98,Yes,56.68,1.049,1129.93,66.7,71.4,0.1,59.9,0.0,12-24,0,0,0
CUST-00076,Female,1,No,Yes,57,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,99.51,5510.99,No,96.68,1.029,5672.07,66.7,64.3,0.3,73.0,20.0,48+,0,0,0
CUST-00077,Female,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),106.86,226.74,Yes,113.37,0.943,213.72,22.2,14.3,0.3,33.6,75.0,0-6,1,1,0
CUST-00078,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),72.2,916.09,No,65.44,1.103,1010.8,55.6,57.1,0.3,46.9,0.0,12-24,0,1,1
CUST-00079,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,63.45,2810.14,No,66.91,0.948,2664.9,88.9,92.9,0.1,77.1,0.0,24-48,0,0,1
CUST-00080,Female,1,No,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),91.99,890.54,No,89.05,1.033,919.9,55.6,57.1,1.0,16.7,55.0,6-12,0,1,1
CUST-00081,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,30.26,298.84,Yes,33.2,0.911,272.34,33.3,35.7,1.0,11.7,55.0,6-12,0,0,1
CUST-00082,Female,0,Yes,Yes,56,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),78.84,4797.14,No,85.66,0.92,4415.04,44.4,50.0,0.1,76.0,0.0,48+,0,1,0
CUST-00083,Male,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.16,1434.37,Yes,43.47,0.993,1424.28,22.2,28.6,1.0,22.8,50.0,24-48,0,1,1
CUST-00084,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),114.19,7235.51,Yes,101.91,1.12,8107.49,55.6,50.0,1.0,50.6,45.0,48+,0,1,1
CUST-00085,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),77.22,482.87,Yes,80.48,0.959,463.32,11.1,7.1,1.0,5.6,80.0,0-6,0,1,0
CUST-00086,Male,1,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.34,1676.93,No,98.64,1.088,1824.78,77.8,78.6,1.0,25.0,45.0,12-24,0,1,1
CUST-00087,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),47.36,611.36,Yes,43.67,1.084,663.04,11.1,7.1,1.0,10.0,50.0,12-24,0,1,0
CUST-00088,Male,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,70.06,3868.83,No,67.87,1.032,3993.42,44.4,50.0,0.1,76.5,0.0,48+,0,0,1
CUST-00089,Female,0,No,No,11,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,40.38,466.9,Yes,42.45,0.951,444.18,55.6,57.1,1.0,17.2,55.0,6-12,0,0,0
CUST-00090,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),96.68,1561.37,Yes,91.85,1.053,1643.56,44.4,50.0,1.0,18.3,45.0,12-24,0,1,1
CUST-00091,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),66.04,501.07,Yes,71.58,0.923,462.28,11.1,7.1,1.0,6.1,80.0,6-12,0,1,0
CUST-00092,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,32.58,1508.23,No,32.09,1.015,1531.26,55.6,57.1,1.0,37.2,25.0,24-48,0,0,1
CUST-00093,Female,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,35.8,413.28,No,37.57,0.953,393.8,44.4,42.9,0.1,51.0,30.0,6-12,0,0,0
CUST-00094,Female,0,No,No,3,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),96.39,271.29,No,90.43,1.066,289.17,55.6,57.1,0.3,40.8,50.0,0-6,1,1,0
CUST-00095,Female,0,No,Yes,21,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,27.16,550.72,Yes,26.22,1.036,570.36,44.4,50.0,1.0,20.5,25.0,12-24,0,0,0
CUST-00096,Female,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,66.38,1240.13,Yes,65.27,1.017,1261.22,44.4,50.0,1.0,19.4,25.0,12-24,0,0,1
CUST-00097,Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.51,335.53,No,41.94,1.061,356.08,11.1,7.1,0.3,34.7,55.0,6-12,0,0,0
CUST-00098,Female,1,Yes,No,6,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),111.15,721.61,No,120.27,0.924,666.9,22.2,28.6,1.0,7.8,100.0,0-6,0,1,1
CUST-00099,Female,0,No,Yes,59,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,41.74,2654.79,No,45.0,0.928,2462.66,44.4,50.0,0.3,69.7,0.0,48+,0,0,1
CUST-00100,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),35.14,103.4,Yes,34.47,1.019,105.42,44.4,50.0,0.1,46.5,30.0,0-6,1,1,1
CUST-00101,Male,1,Yes,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,63.57,347.37,Yes,69.47,0.915,317.85,55.6,57.1,0.1,49.9,30.0,0-6,0,0,1
CUST-00102,Female,0,No,Yes,11,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),85.84,869.97,No,79.09,1.085,944.24,66.7,78.6,1.0,19.5,55.0,6-12,0,1,0
CUST-00103,Female,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),87.58,5206.9,No,78.89,1.11,5780.28,11.1,7.1,0.1,74.9,25.0,48+,0,1,0
CUST-00104,Female,1,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,83.16,352.59,No,88.15,0.943,332.64,44.4,50.0,1.0,11.1,55.0,0-6,0,0,0
CUST-00105,Female,0,Yes,No,51,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),50.41,2424.52,Yes,47.54,1.06,2570.91,11.1,21.4,1.0,30.6,50.0,48+,0,1,0
CUST-00106,Female,0,Yes,No,59,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,20.87,1296.16,No,21.97,0.95,1231.33,33.3,35.7,0.3,67.4,0.0,48+,0,0,0
CUST-00107,Female,1,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.35,1587.68,Yes,88.2,0.956,1518.3,55.6,57.1,1.0,21.1,25.0,12-24,0,1,0
CUST-00108,Female,0,No,Yes,13,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,108.76,1532.62,No,117.89,0.923,1413.88,44.4,50.0,0.3,44.1,20.0,12-24,0,0,1
CUST-00109,Female,0,No,No,38,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,50.17,1806.0,Yes,47.53,1.056,1906.46,77.8,78.6,1.0,36.7,25.0,24-48,0,0,0
CUST-00110,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),33.49,1462.22,Yes,36.56,0.916,1339.6,44.4,42.9,0.3,59.1,0.0,24-48,0,1,1
CUST-00111,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),48.51,2092.71,No,44.53,1.089,2279.97,66.7,71.4,0.1,75.5,0.0,24-48,0,1,1
