customer_id,churn_probability,risk_level,reasons,recommendations,estimated_monthly_revenue,estimated_annual_revenue_at_risk
CUST-00986,0.7769,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹117.45/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 4 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",117.45,1095.01
CUST-02465,0.7767,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹110.11/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",110.11,1026.25
CUST-10127,0.7761,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹97.89/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 5 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 0.0/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",97.89,911.7
CUST-08489,0.7754,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹113.24/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 22.2/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",113.24,1053.63
CUST-00098,0.7751,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹111.15/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Low Engagement Score', 'detail': 'Score: 22.2/100 (below 30)', 'impact': 'LOW'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",111.15,1033.87
CUST-01170,0.774,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹117.73/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",117.73,1093.51
CUST-02341,0.7722,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹100.67/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 5 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",100.67,932.83
CUST-07582,0.772,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹99.58/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",99.58,922.56
CUST-10007,0.7718,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹113.66/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 1 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",113.66,1052.64
CUST-06918,0.7708,HIGH,"[{'factor': 'High Monthly Charges', 'detail': '₹100.65/month (above ₹75 threshold)', 'impact': 'HIGH'}, {'factor': 'No Long-term Contract', 'detail': 'Month-to-month commitment = easy to leave', 'impact': 'HIGH'}, {'factor': 'Low Tenure (New Customer)', 'detail': 'Only 2 months with ConnectTel', 'impact': 'HIGH'}, {'factor': 'No Online Security', 'detail': 'Missing value-added security service', 'impact': 'MEDIUM'}, {'factor': 'No Tech Support', 'detail': 'No dedicated technical assistance', 'impact': 'MEDIUM'}, {'factor': 'Fiber Optic (Price-Sensitive)', 'detail': 'Fiber plans have highest churn rate', 'impact': 'MEDIUM'}, {'factor': 'Electronic Check Payment', 'detail': 'Payment friction increases churn risk', 'impact': 'MEDIUM'}]","[{'action': 'Offer 10-15% loyalty discount', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Recommend mid-tier plan with better value', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Provide cost-saving bundle options', 'category': 'Pricing', 'priority': 'HIGH'}, {'action': 'Incentivize contract upgrade: 15% discount on annual plan', 'category': 'Contract', 'priority': 'HIGH'}, {'action': 'Offer 2-year contract with free installation', 'category': 'Contract', 'priority': 'HIGH'}]",100.65,930.93
